City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Avarua,CK,68.05,few clouds,-21.2078,-159.775,Paradise Inn
1,Usta Muhammad,PK,89.65,clear sky,28.1794,68.0445,Teshseel Colony
2,Mataura,NZ,47.48,broken clouds,-46.1927,168.8643,Ellie's Villa
3,Bow Island,CA,46.42,scattered clouds,49.8668,-111.3684,Pleasant View Lodge
4,Lompoc,US,65.57,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
5,Miraflores,MX,65.16,broken clouds,19.2167,-98.8083,Hotel Mansión
6,Atuona,PF,77.65,light rain,-9.8,-139.0333,Villa Enata
7,Tambura,SS,75.96,scattered clouds,5.6,27.4667,Rikito Lodge
8,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Hobart,AU,49.26,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
10,Castro,BR,71.92,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
11,Punta Arenas,CL,48.22,clear sky,-53.15,-70.9167,Hotel Dreams Del Estrecho
12,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
13,Tongliao,CN,49.19,broken clouds,43.6125,122.2653,Meirujia Hotel
14,Umm Lajj,SA,83.35,clear sky,25.0213,37.2685,Moon light Furnished Units
15,Rikitea,PF,73.04,broken clouds,-23.1203,-134.9692,People ThankYou
16,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
17,Yenagoa,NG,79.95,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
18,Banjar,ID,76.91,clear sky,-8.19,114.9675,The Hamsa Resort
19,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
20,Taltal,CL,60.58,overcast clouds,-25.4,-70.4833,Residencial Karime
21,Dunmore East,IE,62.78,broken clouds,52.1514,-6.9861,The Strand Inn
22,Alta Floresta,BR,98.47,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
23,Belyy Yar,RU,39.09,broken clouds,53.6039,91.3903,Pasportnyy Stol
24,Manggar,ID,81.14,broken clouds,-2.8833,108.2667,Guest Hotel
25,Flinders,AU,62.2,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
26,Cherskiy,RU,-1.19,broken clouds,68.75,161.3,Gostinitsa
27,Savannah Bight,HN,84.25,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
28,Hearst,CA,64.65,clear sky,49.6835,-83.6665,Companion
29,New Norfolk,AU,48.92,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
30,East London,ZA,69.19,broken clouds,-33.0153,27.9116,Tu Casa
31,Bethel,US,72.81,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
32,Hilo,US,71.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
35,Mocajuba,BR,98.58,scattered clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
36,Tuktoyaktuk,CA,29.86,few clouds,69.4541,-133.0374,End of The Road Ltd.
37,Nikolskoye,RU,54.39,scattered clouds,59.7035,30.7861,Tourist House - Sablino
38,Talcher,IN,82.63,overcast clouds,20.95,85.2167,Hotel Green Park
