City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,68.05,88,11,1.14,few clouds
1,Usta Muhammad,PK,28.1794,68.0445,89.65,25,0,4.79,clear sky
2,Mataura,NZ,-46.1927,168.8643,47.48,91,73,2.77,broken clouds
3,Bow Island,CA,49.8668,-111.3684,46.42,63,49,2.3,scattered clouds
4,Lompoc,US,34.6391,-120.4579,65.57,83,90,0.0,overcast clouds
5,Miraflores,MX,19.2167,-98.8083,65.16,62,68,3.96,broken clouds
6,Atuona,PF,-9.8,-139.0333,77.65,78,42,16.6,light rain
7,Tambura,SS,5.6,27.4667,75.96,80,42,2.44,scattered clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,81,10.0,broken clouds
9,Hobart,AU,-42.8794,147.3294,49.26,73,36,1.99,scattered clouds
10,Castro,BR,-24.7911,-50.0119,71.92,79,100,1.88,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,48.22,53,0,14.97,clear sky
12,Bambous Virieux,MU,-20.3428,57.7575,73.22,77,26,12.41,scattered clouds
13,Tongliao,CN,43.6125,122.2653,49.19,53,66,6.51,broken clouds
14,Umm Lajj,SA,25.0213,37.2685,83.35,64,0,10.31,clear sky
15,Rikitea,PF,-23.1203,-134.9692,73.04,78,72,9.22,broken clouds
16,Pisco,PE,-13.7,-76.2167,66.25,72,0,12.66,clear sky
17,Yenagoa,NG,4.9247,6.2642,79.95,83,100,5.39,light rain
18,Banjar,ID,-8.19,114.9675,76.91,87,8,6.89,clear sky
19,Neiafu,TO,-18.65,-173.9833,75.88,88,75,5.75,light rain
20,Taltal,CL,-25.4,-70.4833,60.58,76,99,5.48,overcast clouds
21,Dunmore East,IE,52.1514,-6.9861,62.78,96,75,16.11,broken clouds
22,Alta Floresta,BR,-9.8756,-56.0861,98.47,36,68,2.37,broken clouds
23,Belyy Yar,RU,53.6039,91.3903,39.09,65,75,13.42,broken clouds
24,Manggar,ID,-2.8833,108.2667,81.14,81,69,8.97,broken clouds
25,Flinders,AU,-34.5833,150.8552,62.2,75,84,1.99,broken clouds
26,Cherskiy,RU,68.75,161.3,-1.19,100,60,4.14,broken clouds
27,Savannah Bight,HN,16.45,-85.85,84.25,79,98,12.84,overcast clouds
28,Hearst,CA,49.6835,-83.6665,64.65,70,5,7.43,clear sky
29,New Norfolk,AU,-42.7826,147.0587,48.92,68,77,5.1,broken clouds
30,East London,ZA,-33.0153,27.9116,69.19,83,66,28.39,broken clouds
31,Bethel,US,41.3712,-73.414,72.81,76,75,1.01,broken clouds
32,Hilo,US,19.7297,-155.09,71.8,83,75,0.0,broken clouds
33,Mangai,CD,-4.05,19.5333,83.14,59,93,2.71,overcast clouds
34,Mamallapuram,IN,12.6264,80.1722,86.05,77,93,11.16,overcast clouds
35,Mocajuba,BR,-2.5842,-49.5072,98.58,34,42,4.85,scattered clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,29.86,79,13,10.71,few clouds
37,Nikolskoye,RU,59.7035,30.7861,54.39,51,38,10.25,scattered clouds
38,Talcher,IN,20.95,85.2167,82.63,75,96,2.53,overcast clouds
39,Beloha,MG,-25.1667,45.05,65.52,59,47,12.77,scattered clouds
40,Bilma,NE,18.6853,12.9164,94.01,12,0,1.16,clear sky
41,Ushuaia,AR,-54.8,-68.3,47.86,43,0,3.44,clear sky
42,Vanavara,RU,60.34,102.2797,33.1,98,100,8.63,light snow
43,Dikson,RU,73.5069,80.5464,34.88,92,97,22.08,overcast clouds
44,Busselton,AU,-33.65,115.3333,53.1,76,96,10.36,overcast clouds
45,Victoria,HK,22.2855,114.1577,80.58,93,100,1.99,moderate rain
46,Bluff,NZ,-46.6,168.3333,47.8,90,88,3.87,overcast clouds
47,Tiksi,RU,71.6872,128.8694,28.06,92,100,9.78,overcast clouds
48,Tasiilaq,GL,65.6145,-37.6368,35.76,51,4,7.2,clear sky
49,Airai,TL,-8.9266,125.4092,60.98,81,77,2.37,broken clouds
50,Mar Del Plata,AR,-38.0023,-57.5575,53.62,66,0,8.99,clear sky
51,Vaini,TO,-21.2,-175.2,71.76,94,90,6.91,heavy intensity rain
52,Sitka,US,57.0531,-135.33,48.09,66,90,20.71,light rain
53,Lebu,CL,-37.6167,-73.65,56.68,56,0,9.69,clear sky
54,Benguela,AO,-12.5763,13.4055,74.77,69,36,7.72,scattered clouds
55,Praia,CV,14.9215,-23.5087,88.34,58,40,12.66,scattered clouds
56,Kodiak,US,57.79,-152.4072,49.51,57,1,12.66,clear sky
57,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,43,0,6.91,clear sky
58,Clyde River,CA,70.4692,-68.5914,35.33,85,96,1.59,overcast clouds
59,Arsk,RU,56.0915,49.8778,37.18,61,9,3.4,clear sky
60,Lodja,CD,-3.4833,23.4333,82.08,56,98,4.09,overcast clouds
61,Bellefontaine,US,40.3612,-83.7597,71.08,91,75,1.99,broken clouds
62,Marawi,PH,7.9986,124.2928,68.65,94,100,1.7,overcast clouds
63,Jamestown,US,42.097,-79.2353,73.94,73,40,4.61,scattered clouds
64,Albany,US,42.6001,-73.9662,71.53,76,1,1.05,clear sky
65,Autun,FR,46.95,4.3,60.24,70,32,6.42,scattered clouds
66,Fortuna,US,40.5982,-124.1573,51.66,68,75,1.01,broken clouds
67,Port Lincoln,AU,-34.7333,135.8667,49.87,75,99,6.26,overcast clouds
68,San Patricio,US,28.017,-97.5169,84.87,46,0,3.56,clear sky
69,Port Elizabeth,ZA,-33.918,25.5701,75.09,82,99,19.28,overcast clouds
70,Lander,US,42.833,-108.7307,57.06,53,75,0.0,broken clouds
71,Georgetown,MY,5.4112,100.3354,82.89,85,20,2.3,few clouds
72,Meulaboh,ID,4.1363,96.1285,77.27,87,100,3.31,overcast clouds
73,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,40,11.5,scattered clouds
74,Samarai,PG,-10.6167,150.6667,79.65,85,52,7.74,broken clouds
75,Garowe,SO,8.4054,48.4845,88.68,35,47,11.63,scattered clouds
76,Longyearbyen,SJ,78.2186,15.6401,28.24,64,75,8.05,broken clouds
77,Doka,SD,13.5167,35.7667,78.44,73,57,3.89,broken clouds
78,Sivas,TR,39.7916,37.0019,50.63,66,0,9.22,clear sky
79,Cape Town,ZA,-33.9258,18.4232,70.09,55,0,13.56,clear sky
80,Sorkjosen,NO,69.8,20.9333,39.2,70,75,10.36,broken clouds
81,Monte Carmelo,BR,-18.7247,-47.4986,95.16,22,23,7.23,few clouds
82,Saint George,US,37.1041,-113.5841,70.27,63,1,0.0,clear sky
83,Hermanus,ZA,-34.4187,19.2345,68.81,65,28,7.52,scattered clouds
84,Chuy,UY,-33.6971,-53.4616,57.85,49,6,9.08,clear sky
85,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,13.8,scattered clouds
86,Point Pedro,LK,9.8167,80.2333,82.42,80,100,19.01,overcast clouds
87,Arbroath,GB,56.5632,-2.5874,64.38,95,100,14.27,overcast clouds
88,Gandorhun,SL,7.5,-11.8333,83.43,79,73,4.88,light rain
89,Kaitangata,NZ,-46.2817,169.8464,47.77,89,58,4.56,broken clouds
90,Salina,US,38.8403,-97.6114,75.31,63,1,5.01,clear sky
91,Bosaso,SO,11.2842,49.1816,86.63,73,7,3.2,clear sky
92,Rudsar,IR,37.1376,50.288,58.98,86,100,3.33,overcast clouds
93,Tilichiki,RU,60.4667,166.1,27.32,66,99,7.07,overcast clouds
94,Qaqortoq,GL,60.7167,-46.0333,48.7,44,8,7.78,clear sky
95,Caravelas,BR,-17.7125,-39.2481,85.69,55,29,12.82,scattered clouds
96,Jega,NG,12.2175,4.3792,96.73,30,97,1.83,overcast clouds
97,Port Alfred,ZA,-33.5906,26.891,69.03,84,88,30.62,overcast clouds
98,Carnarvon,AU,-24.8667,113.6333,64.47,77,40,13.8,scattered clouds
99,Kapaa,US,22.0752,-159.319,73.72,82,75,1.99,light rain
100,Zhangye,CN,38.9342,100.4517,57.0,45,91,2.1,overcast clouds
101,Oussouye,SN,12.485,-16.5469,95.18,52,100,3.49,light rain
102,Mahanoro,MG,-19.9,48.8,69.96,84,99,10.49,light rain
103,Cayenne,GF,4.9333,-52.3333,91.44,75,75,1.99,broken clouds
104,Maun,BW,-19.9833,23.4167,92.61,16,63,4.41,broken clouds
105,Peniche,PT,39.3558,-9.3811,87.28,53,0,13.67,clear sky
106,Ponta Do Sol,PT,32.6667,-17.1,79.0,72,26,0.76,scattered clouds
107,Nantucket,US,41.2835,-70.0995,70.14,74,1,6.91,clear sky
108,Mogadishu,SO,2.0371,45.3438,78.08,80,72,19.39,broken clouds
109,Dutse,NG,11.7594,9.3392,92.95,32,11,2.68,few clouds
110,Yellowknife,CA,62.456,-114.3525,36.41,100,100,1.01,light rain
111,Manokwari,ID,-0.8667,134.0833,80.04,77,100,9.01,overcast clouds
112,Haines Junction,CA,60.7522,-137.5108,31.3,94,100,0.85,overcast clouds
113,Klyuchi,RU,52.2667,79.1667,39.29,86,100,13.31,overcast clouds
114,Belmonte,BR,-15.8631,-38.8828,84.7,61,2,10.2,clear sky
115,Ribeira Grande,PT,38.5167,-28.7,73.8,64,20,11.5,few clouds
116,Porto Novo,BJ,6.4965,2.6036,84.02,68,94,8.59,overcast clouds
117,Mae Sai,TH,20.4335,99.8762,75.43,85,20,2.44,few clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,91.71,57,1,8.05,clear sky
119,Lehi,US,40.3916,-111.8508,63.68,77,72,4.0,broken clouds
120,Bosobolo,CD,4.1833,19.9,78.85,85,94,2.3,overcast clouds
121,Iqaluit,CA,63.7506,-68.5145,40.69,73,87,5.01,overcast clouds
122,Malanje,AO,-9.5402,16.341,84.29,37,93,4.7,overcast clouds
123,Kavaratti,IN,10.5669,72.642,82.24,78,80,8.43,broken clouds
